,Driver,TeamId,GridPosition,TotalSectorTime (s),Grid_Gap_to_Pole,Quali_vs_Teammate,Race,Year,CleanAirPace_seconds,Practice_Gap_to_Fastest,Practice_vs_Quali_Rank,AirTemp,Pressure,Rain,WindSpeed,TrackTemp,Is_Monza
185,HAM,ferrari,5.0,84.73129230769231,4.0,-1.0,Spain,2025,73.527,1.1400000000000006,6.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
186,HAD,rb,9.0,84.6920923076923,8.0,-2.0,Spain,2025,73.382,0.9950000000000045,-1.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
187,GAS,alpine,8.0,84.72804615384615,7.0,-5.0,Spain,2025,73.385,0.9980000000000047,1.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
188,ALO,aston_martin,10.0,84.77196923076923,9.0,0.0,Spain,2025,73.301,0.9140000000000015,-3.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
189,VER,red_bull,3.0,84.70007692307692,2.0,-8.0,Spain,2025,73.07,0.6829999999999927,1.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
190,LAW,rb,13.0,84.81467692307693,12.0,2.0,Spain,2025,73.494,1.1069999999999993,-3.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
191,BOR,sauber,12.0,84.83093846153847,11.0,-1.5,Spain,2025,73.722,1.3349999999999937,3.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
192,TSU,red_bull,19.0,84.80896923076924,18.0,8.0,Spain,2025,73.683,1.2960000000000065,-6.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
193,SAI,williams,17.0,84.84423076923076,16.0,3.0,Spain,2025,73.721,1.3340000000000032,-3.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
194,COL,alpine,18.0,84.86827692307692,17.0,5.0,Spain,2025,74.085,1.6979999999999933,0.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
195,OCO,haas,16.0,84.8976,15.0,1.0,Spain,2025,74.005,1.617999999999995,1.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
196,BEA,haas,14.0,84.82466153846154,13.0,-1.0,Spain,2025,74.126,1.7390000000000043,5.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
197,ANT,mercedes,6.0,81.97213461538462,5.0,1.0,Spain,2025,73.298,0.9110000000000014,0.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
198,ALB,williams,11.0,85.1063076923077,10.0,-3.0,Spain,2025,73.839,1.4519999999999982,5.0,29.12,1002.771612903226,False,1.6329032258064518,48.54322580645161,0
199,RUS,mercedes,1.0,78.70776811594203,0.0,-1.5,Canada,2025,72.123,0.32399999999999807,4.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
200,VER,red_bull,2.0,78.70097101449275,1.0,-8.0,Canada,2025,72.072,0.27299999999999613,2.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
201,ANT,mercedes,4.0,78.70120289855072,3.0,1.5,Canada,2025,72.348,0.5489999999999924,3.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
202,PIA,mclaren,3.0,78.70808695652174,2.0,-2.0,Canada,2025,72.562,0.762999999999991,7.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
203,LEC,ferrari,8.0,78.69275362318841,7.0,1.5,Canada,2025,71.877,0.07799999999998875,-6.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
204,HAM,ferrari,5.0,78.82182608695652,4.0,-1.5,Canada,2025,72.05,0.25099999999999056,-2.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
205,ALO,aston_martin,6.0,78.81636231884059,5.0,-5.5,Canada,2025,72.247,0.4479999999999933,0.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
206,HUL,sauber,11.0,78.84189855072464,10.0,-2.0,Canada,2025,72.914,1.1149999999999949,7.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
207,OCO,haas,14.0,79.7647794117647,13.0,0.5,Canada,2025,72.827,1.0279999999999916,2.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
208,SAI,williams,16.0,79.75883823529412,15.0,3.5,Canada,2025,72.519,0.7199999999999989,-7.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
209,BEA,haas,13.0,79.80098529411765,12.0,-0.5,Canada,2025,72.825,1.0259999999999962,2.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
210,TSU,red_bull,18.0,79.80602941176471,17.0,8.0,Canada,2025,72.939,1.1399999999999864,1.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
211,COL,alpine,10.0,79.86572058823529,9.0,-5.0,Canada,2025,73.06,1.2609999999999957,10.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
212,BOR,sauber,15.0,79.85182352941176,14.0,2.0,Canada,2025,72.896,1.0969999999999942,2.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
213,GAS,alpine,20.0,79.79869117647058,19.0,5.0,Canada,2025,72.684,0.8849999999999909,-8.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
214,HAD,rb,12.0,79.88473529411765,11.0,-3.5,Canada,2025,72.651,0.8519999999999897,-1.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
215,STR,aston_martin,17.0,79.85513235294118,16.0,5.5,Canada,2025,72.794,0.9949999999999903,-3.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
216,NOR,mclaren,7.0,76.18044615384615,6.0,2.0,Canada,2025,71.799,0.0,-6.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
217,LAW,rb,19.0,78.13411538461538,18.0,3.5,Canada,2025,72.751,0.9519999999999982,-6.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
218,ALB,williams,9.0,78.08082222222222,8.0,-3.5,Canada,2025,72.445,0.6459999999999866,-1.0,24.036526946107788,1018.9281437125752,True,1.0377245508982034,49.25329341317366,0
219,NOR,mclaren,1.0,71.57727536231884,0.0,-1.0,Austria,2025,64.324,0.0,0.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
220,PIA,mclaren,3.0,71.58959420289855,2.0,1.0,Austria,2025,64.442,0.117999999999995,-1.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
221,LEC,ferrari,2.0,71.78711594202899,1.0,-1.0,Austria,2025,64.574,0.25,2.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
222,HAM,ferrari,4.0,71.88366666666667,3.0,1.0,Austria,2025,64.79,0.4660000000000082,1.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
223,RUS,mercedes,5.0,72.35365217391305,4.0,-2.0,Austria,2025,65.018,0.6940000000000026,1.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
224,LAW,rb,6.0,72.32697101449276,5.0,-3.5,Austria,2025,65.182,0.8580000000000041,4.5,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
225,ALO,aston_martin,11.0,72.40004411764706,10.0,-2.5,Austria,2025,65.358,1.034000000000006,4.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
226,BOR,sauber,8.0,72.45520588235294,7.0,-6.0,Austria,2025,65.182,0.8580000000000041,2.5,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
227,HUL,sauber,20.0,72.30570588235294,19.0,6.0,Austria,2025,65.283,0.9590000000000032,-8.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
228,OCO,haas,17.0,72.43966176470587,16.0,1.0,Austria,2025,65.519,1.1950000000000074,0.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
229,BEA,haas,15.0,72.69283823529412,14.0,-1.0,Austria,2025,65.835,1.5109999999999957,5.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
230,HAD,rb,13.0,72.62592647058824,12.0,3.5,Austria,2025,65.547,1.222999999999999,6.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
231,GAS,alpine,10.0,72.94744117647059,9.0,-2.0,Austria,2025,65.366,1.0420000000000016,6.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
